City,Season,FeelsLike,Humidity,Weekday,PredictedFlavor
בני ברק,Fall,22.11,87,Monday,BRAMBLEBERRY SORBET
ירושלים,Fall,26.32,61,Wednesday,CHERRY CHEESECAKE
ירושלים,Fall,23.05,58,Wednesday,RASPBERRY SORBET
ירושלים,Fall,23.05,58,Wednesday,SALTED CARAMEL SOY
בני ברק,Fall,27.96,60,Thursday,BRAMBLEBERRY SORBET
תירוש,Fall,23.04,70,Thursday,VANILLA STRABERRY
תירוש,Fall,23.04,70,Thursday,LIME SORBET
בני ברק,Fall,23.12,75,Thursday,OREO
בני ברק,Fall,22.97,76,Thursday,BRAMBLEBERRY SORBET
בני ברק,Fall,22.97,76,Thursday,BANANA & HONEY
רמת גן,Winter,14.73,81,Saturday,CHOCOLATE & SEA SALT
רמת גן,Winter,14.73,81,Saturday,BANANA & HONEY
רמת גן,Winter,14.73,81,Saturday,BANANA & HONEY
רמת גן,Winter,14.73,81,Saturday,BANANA & HONEY
בני ברק,Winter,27.28,39,Sunday,BRAMBLEBERRY SORBET
בית שמש,Winter,20.49,43,Sunday,CHERRY CHEESECAKE
בית שמש,Winter,20.49,43,Sunday,CHERRY CHEESECAKE
רמת גן,Winter,22.26,40,Sunday,CHERRY CHEESECAKE
נתניה,Winter,23.63,47,Sunday,VANILLA STRABERRY
חדרה,Winter,17.9,48,Sunday,OREO
חדרה,Winter,17.9,48,Sunday,OREO
חדרה,Winter,17.9,48,Sunday,OREO
נתניה,Winter,23.59,47,Sunday,VANILLA STRABERRY
חדרה,Winter,17.9,48,Sunday,CHOCOLATE & SEA SALT
חדרה,Winter,17.9,48,Sunday,CHOCOLATE & SEA SALT
נתניה,Winter,23.59,47,Sunday,VANILLA STRABERRY
חדרה,Winter,17.9,48,Sunday,CHOCOLATE & SEA SALT
חדרה,Winter,17.9,48,Sunday,CHERRY CHEESECAKE
נתניה,Winter,23.59,47,Sunday,VANILLA STRABERRY
חדרה,Winter,17.9,48,Sunday,VANILLA STRABERRY
נתניה,Winter,23.59,47,Sunday,CHERRY CHEESECAKE
חדרה,Winter,17.9,48,Sunday,VANILLA STRABERRY
נתניה,Winter,23.59,47,Sunday,CHERRY CHEESECAKE
נתניה,Winter,23.59,47,Monday,LIME SORBET
חדרה,Winter,18.51,48,Monday,VANILLA STRABERRY
